Gene	sgRNA(sample1_21day/sample1_7day)	sample1_7day	sample1_21day	log2(sample1_21day/sample1_7day)	abs_log2(sample1_21day/sample1_7day)
LETM1	HGLibB_26297	0.0	3.0103234686854785	2.0037186077144806	2.0037186077144806
ALDH1A1	HGLibB_01540	0.0	3.0103234686854785	2.0037186077144806	2.0037186077144806
ZBTB22	HGLibB_54777	2.989747095010253	0.0	-1.9962972987437522	1.9962972987437522
ACOX2	HGLibB_00501	2.989747095010253	0.0	-1.9962972987437522	1.9962972987437522
MYRIP	HGLibB_30878	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MLLT6	HGLibB_29383	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GSDMC	HGLibB_20383	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KIAA0141	HGLibB_24559	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PDS5A	HGLibB_35896	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FOXJ1	HGLibB_17863	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CHCHD6	HGLibB_09368	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SPATA6	HGLibB_46467	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SYT1	HGLibB_47985	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MRFAP1	HGLibB_29787	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FUT11	HGLibB_18160	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SRBD1	HGLibB_46868	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NUP210L	HGLibB_32997	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KCNK12	HGLibB_24266	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RNF148	HGLibB_41487	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ESRRB	HGLibB_15574	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HGS	HGLibB_21217	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SFSWAP	HGLibB_43695	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLPSL2	HGLibB_10099	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SP140	HGLibB_46234	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PARPBP	HGLibB_35204	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RRAD	HGLibB_42167	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
EYA4	HGLibB_15803	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CEP76	HGLibB_09155	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
B3GNT3	HGLibB_03986	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
UBALD1	HGLibB_52475	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TM4SF19	HGLibB_49636	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
IFT74	HGLibB_22740	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FBXW5	HGLibB_17127	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C9orf37	HGLibB_06721	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C7orf62	HGLibB_06565	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TTC23L	HGLibB_52016	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TM6SF2	HGLibB_49653	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PAGE2B	HGLibB_34963	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC22A23	HGLibB_44520	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZNF521	HGLibB_56090	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CIRH1A	HGLibB_09714	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC14A1	HGLibB_44345	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NECAP2	HGLibB_31555	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C15orf54	HGLibB_05410	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
EPS8	HGLibB_15353	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CCDC155	HGLibB_07653	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SHE	HGLibB_43969	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
IBA57	HGLibB_22448	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KRTAP22-2	HGLibB_25684	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GDPD4	HGLibB_18874	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CNKSR3	HGLibB_10291	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SARS	HGLibB_42695	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
COL3A1	HGLibB_10551	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ASTN2	HGLibB_03380	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CRTC3	HGLibB_11221	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NOSTRIN	HGLibB_32294	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MEDAG	HGLibB_28783	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TGM3	HGLibB_49200	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRY	HGLibB_38945	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
WDR63	HGLibB_54083	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C15orf57	HGLibB_05416	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SIPA1	HGLibB_44135	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MDFI	HGLibB_28629	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SCUBE1	HGLibB_43018	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
VTN	HGLibB_53828	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KCNJ4	HGLibB_24244	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NonTargetingControlGuideForHuman_0640	HGLibB_57668	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LDLRAD1	HGLibB_26203	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LILRA3	HGLibB_26457	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ABCF3	HGLibB_00211	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CARTPT	HGLibB_07260	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
USPL1	HGLibB_53355	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HIBCH	HGLibB_21256	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HELZ	HGLibB_21095	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PMP2	HGLibB_37272	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRUNE	HGLibB_38937	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CST3	HGLibB_11442	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CA6	HGLibB_06812	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TENM3	HGLibB_48942	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CST1	HGLibB_11432	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TMEM170B	HGLibB_49998	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SPINT2	HGLibB_46659	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CASP8AP2	HGLibB_07323	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TMEM63C	HGLibB_50420	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
OLFM4	HGLibB_33309	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MLN	HGLibB_29386	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MDM4	HGLibB_28659	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
STRN	HGLibB_47538	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NonTargetingControlGuideForHuman_0959	HGLibB_57987	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CABP4	HGLibB_06850	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SCARB1	HGLibB_42816	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NAP1L3	HGLibB_31074	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SCLY	HGLibB_42901	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MAF1	HGLibB_27828	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CYP11B1	HGLibB_12041	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CD5L	HGLibB_08412	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PEMT	HGLibB_35997	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PTGDR2	HGLibB_39259	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PGAM2	HGLibB_36151	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RILPL1	HGLibB_41202	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRELP	HGLibB_38386	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ACVR1B	HGLibB_00688	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CCL26	HGLibB_08002	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CCDC166	HGLibB_07667	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GNPTG	HGLibB_19550	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KRTAP7-1	HGLibB_25788	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
OR2V2	HGLibB_33853	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FAM149B1	HGLibB_16132	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HAPLN3	HGLibB_20818	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
BTBD8	HGLibB_04921	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SOS2	HGLibB_46148	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
JPH3	HGLibB_23950	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZNF277	HGLibB_55651	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NUP153	HGLibB_32980	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GPHB5	HGLibB_19772	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TLX2	HGLibB_49616	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC10A1	HGLibB_44276	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CCNI	HGLibB_08094	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FOXR1	HGLibB_17921	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
S1PR4	HGLibB_42549	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRSS46	HGLibB_38897	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLDN23	HGLibB_09876	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ATP5H	HGLibB_03663	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PI16	HGLibB_36439	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRR25	HGLibB_38784	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FNDC1	HGLibB_17720	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZNF641	HGLibB_56375	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CD3G	HGLibB_08370	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZMAT1	HGLibB_55298	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC5A5	HGLibB_45221	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NonTargetingControlGuideForHuman_0308	HGLibB_57336	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
OR2T2	HGLibB_33817	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ARF1	HGLibB_02643	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ENPP5	HGLibB_15158	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ROR1	HGLibB_41717	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FAR1	HGLibB_16846	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ABCD4	HGLibB_00199	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
APOA4	HGLibB_02455	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RAB11FIP3	HGLibB_39747	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
OR4C6	HGLibB_33916	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NonTargetingControlGuideForHuman_0648	HGLibB_57676	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
STK19	HGLibB_47410	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SBK2	HGLibB_42749	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ATP6V1G3	HGLibB_03760	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RELL1	HGLibB_40768	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LAMA5	HGLibB_25916	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GIF	HGLibB_19035	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ATP1B1	HGLibB_03591	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KCNIP2	HGLibB_24204	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
QDPR	HGLibB_39671	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MON2	HGLibB_29605	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
DCX	HGLibB_12566	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MCM5	HGLibB_28575	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FAM193B	HGLibB_16344	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NonTargetingControlGuideForHuman_0210	HGLibB_57238	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZNF101	HGLibB_55369	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CCIN	HGLibB_07942	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FER	HGLibB_17261	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TEX9	HGLibB_49053	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC6A12	HGLibB_45243	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
INHA	HGLibB_23267	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LAMB4	HGLibB_25928	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
DAP	HGLibB_12302	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
AZI1	HGLibB_03932	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC26A2	HGLibB_44735	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
OR8S1	HGLibB_34508	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SHANK1	HGLibB_43934	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FCRLB	HGLibB_17224	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HTATIP2	HGLibB_22316	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
P2RX1	HGLibB_34801	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KLHDC1	HGLibB_25055	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RNMTL1	HGLibB_41669	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLDN18	HGLibB_09862	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CXorf36	HGLibB_11906	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
DNAAF1	HGLibB_13439	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CD59	HGLibB_08410	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC27A3	HGLibB_44766	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ERP29	HGLibB_15506	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KCTD8	HGLibB_24434	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NPFFR2	HGLibB_32398	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KBTBD6	HGLibB_24076	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MAPK11	HGLibB_28213	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
KCNAB3	HGLibB_24120	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MRGPRD	HGLibB_29796	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
BAZ2A	HGLibB_04189	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
FDFT1	HGLibB_17228	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ABHD11	HGLibB_00237	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SET	HGLibB_43579	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
EHD4	HGLibB_14653	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ACTL6A	HGLibB_00620	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
APOC3	HGLibB_02508	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TMEM74	HGLibB_50449	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LGMN	HGLibB_26367	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SNX31	HGLibB_46031	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C1orf204	HGLibB_05817	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TMEM31	HGLibB_50306	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GUCY1A2	HGLibB_20624	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLPB	HGLibB_10087	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
BCMO1	HGLibB_04354	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CORO7	HGLibB_10781	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SPRTN	HGLibB_46774	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
WDR86	HGLibB_54136	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GLYATL1	HGLibB_19349	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLHC1	HGLibB_10008	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SLC35C2	HGLibB_44921	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZMAT2	HGLibB_55302	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SRR	HGLibB_46982	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PPHLN1	HGLibB_37842	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CNBP	HGLibB_10238	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLEC4M	HGLibB_09989	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
DUSP26	HGLibB_14147	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ADAM32	HGLibB_00770	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRR23B	HGLibB_38774	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PLBD1	HGLibB_36925	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SCGB3A2	HGLibB_42883	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NUDT2	HGLibB_32924	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PDGFB	HGLibB_35798	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HRK	HGLibB_22078	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CXCL14	HGLibB_11846	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZSCAN22	HGLibB_56937	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PRAM1	HGLibB_38224	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CCDC179	HGLibB_07711	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TMEM221	HGLibB_50176	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
PTCHD4	HGLibB_39235	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
EGFR	HGLibB_14613	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NECAB3	HGLibB_31549	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
METRNL	HGLibB_28899	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NYAP2	HGLibB_33138	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LPP	HGLibB_27070	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
UBAP2L	HGLibB_52490	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TEX36	HGLibB_49044	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
BARX1	HGLibB_04162	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RAB40C	HGLibB_39888	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MTMR14	HGLibB_30379	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
NonTargetingControlGuideForHuman_0035	HGLibB_57063	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C6orf120	HGLibB_06436	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
MEX3B	HGLibB_28990	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CLINT1	HGLibB_10030	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
ZNF628	HGLibB_56361	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
WSB2	HGLibB_54353	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RABL6	HGLibB_39987	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
LRRN2	HGLibB_27432	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GTDC1	HGLibB_20486	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
THSD7B	HGLibB_49348	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
AGTR2	HGLibB_01264	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GTF2A2	HGLibB_20497	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
C8orf86	HGLibB_06647	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SNX13	HGLibB_45979	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
GLRA1	HGLibB_19273	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
HIPK4	HGLibB_21321	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
CHIT1	HGLibB_09446	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
TMEM245	HGLibB_50241	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
SNCG	HGLibB_45860	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
DPP10	HGLibB_13845	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
RPS6KA4	HGLibB_42114	0.0	2.0068823124569857	1.5882684028113763	1.5882684028113763
